brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti,Maruti Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,5.9
Mahindra,Mahindra Bolero,1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,8.5
Mahindra,Mahindra KUV100,3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,5.5
Maruti,Maruti Baleno,5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,6.25
Maruti,Maruti Swift Dzire,5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,6.0
Maruti,Maruti Wagon R,2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,4.45
Maruti,Maruti Ignis,2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,5.3
Maruti,Maruti Wagon R,3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,4.1
Datsun,Datsun RediGO,3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,3.5
Hyundai,Hyundai Verna,7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,5.2
Hyundai,Hyundai i20,5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,7.5
Maruti,Maruti Swift Dzire,4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,5.6
Hyundai,Hyundai i20,2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,6.55
Hyundai,Hyundai Santro,14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,1.25
Hyundai,Hyundai i20,3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,5.5
Mahindra,Mahindra Scorpio,4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,11.5
Volkswagen,Volkswagen Vento,9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,5.0
Mahindra,Mahindra Marazzo,2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,9.9
Hyundai,Hyundai Verna,8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,5.51
Mahindra,Mahindra XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,16.5
Hyundai,Hyundai Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,3.5
Ford,Ford Aspire,4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,5.0
Maruti,Maruti Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,5.75
Hyundai,Hyundai Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,5.45
Ford,Ford Figo,4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,5.25
Honda,Honda Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,4.0
Maruti,Maruti Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,1.55
Maruti,Maruti Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,5.45
Honda,Honda City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,5.45
Renault,Renault KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,2.4
Maruti,Maruti Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,7.25
Ford,Ford Aspire,4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,4.8
Hyundai,Hyundai i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,3.75
Maruti,Maruti Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,2.25
Tata,Tata Tiago,4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,4.0
Hyundai,Hyundai i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,5.5
Mahindra,Mahindra Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,10.5
Volkswagen,Volkswagen Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,4.5
Mercedes-Benz,Mercedes-Benz C-Class,9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,7.75
Maruti,Maruti Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,3.5
Honda,Honda City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,5.5
Kia,Kia Seltos,2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,10.8
Maruti,Maruti Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,5.75
Toyota,Toyota Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,9.5
Maruti,Maruti Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,2.3
Hyundai,Hyundai i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,2.7
Ford,Ford Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,1.3
Maruti,Maruti Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,3.7
Maruti,Maruti Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,5.7
Volkswagen,Volkswagen Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,3.65
Hyundai,Hyundai i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,2.8
Hyundai,Hyundai Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,12.5
Hyundai,Hyundai i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.9
Maruti,Maruti Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,4.75
Ford,Ford Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,6.85
Hyundai,Hyundai Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,3.8
Renault,Renault KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,3.3
Maruti,Maruti Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,6.5
Maruti,Maruti Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,3.25
Maruti,Maruti Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,6.4
Hyundai,Hyundai Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,9.49
Hyundai,Hyundai Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,6.6
Maruti,Maruti Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,4.35
Hyundai,Hyundai i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,3.85
Hyundai,Hyundai Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,12.5
Maruti,Maruti Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,1.55
Maruti,Maruti Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,4.15
Maruti,Maruti Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,2.51
Mahindra,Mahindra Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,11.5
Hyundai,Hyundai i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,3.1
Datsun,Datsun GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,3.5
Mahindra,Mahindra Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,11.25
BMW,BMW 5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,26.0
Datsun,Datsun GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,4.8
Maruti,Maruti Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,8.5
Hyundai,Hyundai Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,11.0
Maruti,Maruti Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,5.75
Maruti,Maruti Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,3.4
Ford,Ford Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,9.25
Hyundai,Hyundai Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,4.0
Honda,Honda City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,7.25
Maruti,Maruti Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,6.0
Mahindra,Mahindra Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,5.5
Ford,Ford Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,5.85
Maruti,Maruti Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,4.11
Maruti,Maruti Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,4.5
Honda,Honda CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,12.9
Volkswagen,Volkswagen Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,4.55
Hyundai,Hyundai Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,7.1
Honda,Honda City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,7.7
Ford,Ford Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,29.0
Honda,Honda Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,7.2
Mahindra,Mahindra KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,3.75
Datsun,Datsun GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,4.0
Renault,Renault Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,6.0
Honda,Honda Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,6.0
Maruti,Maruti Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,2.7
Hyundai,Hyundai i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,5.0
Hyundai,Hyundai Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,6.5
Maruti,Maruti Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,6.6
BMW,BMW 3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,20.9
Kia,Kia Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,12.75
Maruti,Maruti Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,4.95
Hyundai,Hyundai Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,4.75
Maruti,Maruti Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,5.3
Tata,Tata Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,5.3
Hyundai,Hyundai Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,6.5
Honda,Honda City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,3.35
Audi,Audi A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,12.9
Ford,Ford Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,3.0
Maruti,Maruti Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,5.5
Maruti,Maruti Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,3.9
Mahindra,Mahindra Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,2.6
Tata,Tata Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,3.95
Mahindra,Mahindra Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,5.5
Maruti,Maruti Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,6.5
Maruti,Maruti Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,3.75
Kia,Kia Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,13.0
Maruti,Maruti Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,3.6
Maruti,Maruti Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,5.05
Maruti,Maruti Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,3.1
Hyundai,Hyundai i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,5.45
Mahindra,Mahindra Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,1.5
Maruti,Maruti Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,5.8
Maruti,Maruti Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,2.5
Hyundai,Hyundai Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,6.5
Maruti,Maruti Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,4.1
Ford,Ford Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,5.31
Ford,Ford Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,8.9
Tata,Tata Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,7.75
Maruti,Maruti Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,4.35
Ford,Ford Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,1.85
Mahindra,Mahindra Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,4.4
Hyundai,Hyundai i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,4.5
Maruti,Maruti Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,6.0
Maruti,Maruti Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,3.2
Hyundai,Hyundai i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,7.0
Ford,Ford Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,6.3
Maruti,Maruti Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,3.2
Honda,Honda City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,4.65
Hyundai,Hyundai i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,5.5
Maruti,Maruti Swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,4.45
Tata,Tata Safari,8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,7.05
Maruti,Maruti Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,2.7
Honda,Honda City,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,4.75
Toyota,Toyota Fortuner,6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,17.55
Honda,Honda City,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,3.5
Hyundai,Hyundai i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,5.75
Renault,Renault KWID,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,3.6
Maruti,Maruti Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,2.75
Datsun,Datsun GO,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,3.2
Hyundai,Hyundai Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,3.7
Maruti,Maruti Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,2.75
Honda,Honda City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,5.5
Maruti,Maruti Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,7.5
Maruti,Maruti Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,2.72
Maruti,Maruti Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,9.51
Maruti,Maruti Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,2.8
Honda,Honda City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,5.45
Renault,Renault KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,4.5
Hyundai,Hyundai i20,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,4.8
Mahindra,Mahindra Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,10.6
Maruti,Maruti Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,2.35
Maruti,Maruti Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,5.9
Toyota,Toyota Fortuner,3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,29.5
Hyundai,Hyundai Santro,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,1.1
Mahindra,Mahindra Scorpio,14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,2.8
Audi,Audi A4,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,18.51
Honda,Honda City,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,7.5
Hyundai,Hyundai Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,4.0
Maruti,Maruti Swift Dzire,6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,5.3
Mahindra,Mahindra Thar,3,25000,Individual,Diesel,Manual,16.55,2498,105.0,6,8.7
Renault,Renault KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,2.95
Tata,Tata Tiago,4,53000,Individual,Diesel,Manual,27.28,1047,69.0,5,3.7
Maruti,Maruti Swift,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,5.3
Renault,Renault KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,3.5
Ford,Ford Ecosport,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,4.7
Ford,Ford Aspire,6,42000,Individual,Diesel,Manual,25.83,1498,99.0,5,3.9
Mahindra,Mahindra Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,9.2
Mahindra,Mahindra XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,5.5
Hyundai,Hyundai Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,6.35
Mahindra,Mahindra XUV500,4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,12.5
Maruti,Maruti Alto,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,3.0
Honda,Honda City,3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,9.6
Maruti,Maruti Vitara,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,7.5
Volkswagen,Volkswagen Polo,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,2.49
Tata,Tata Hexa,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,14.0
Ford,Ford Figo,10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,2.5
Hyundai,Hyundai Verna,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,6.1
Ford,Ford Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,5.45
Hyundai,Hyundai Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,4.8
Hyundai,Hyundai i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,3.95
Toyota,Toyota Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,4.95
Hyundai,Hyundai Grand,4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,4.7
Volkswagen,Volkswagen Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,2.0
Hyundai,Hyundai i20,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,6.99
Maruti,Maruti Wagon R,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,3.4
Renault,Renault Duster,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,5.0
Honda,Honda City,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,10.5
Renault,Renault Duster,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,6.0
Maruti,Maruti Swift,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,4.91
Land Rover,Land Rover Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177.0,5,28.9
Hyundai,Hyundai i10,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,1.6
Hyundai,Hyundai Venue,2,5400,Dealer,Petrol,Manual,18.27,998,118.35,5,9.85
Maruti,Maruti Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,5.0
Tata,Tata Tiago,4,24800,Individual,Petrol,Manual,23.84,1199,84.0,5,3.35
Maruti,Maruti Alto,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,0.85
Honda,Honda Jazz,3,20000,Dealer,Petrol,Automatic,17.1,1199,88.51,5,7.4
Maruti,Maruti Swift,8,34553,Dealer,Petrol,Manual,22.0,1197,81.8,5,3.75
Maruti,Maruti Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,8.1
Volkswagen,Volkswagen Polo,11,350000,Individual,Petrol,Manual,16.47,1198,73.9,5,1.73
Maruti,Maruti Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,7.0
Mahindra,Mahindra KUV,5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,3.1
Mahindra,Mahindra Scorpio,4,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,8.5
Hyundai,Hyundai i20,8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,2.85
Maruti,Maruti Swift Dzire,7,120000,Individual,Diesel,Manual,23.4,1248,74.0,5,4.5
Hyundai,Hyundai Creta,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,11.0
Mahindra,Mahindra Scorpio,4,30000,Individual,Diesel,Manual,15.4,1997,120.0,7,10.8
Honda,Honda City,7,66100,Dealer,Diesel,Manual,26.0,1498,98.6,5,5.3
Maruti,Maruti Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,6.8
Mahindra,Mahindra Scorpio,4,42000,Dealer,Diesel,Manual,15.4,1997,120.0,7,10.25
Hyundai,Hyundai i20,4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,6.5
Hyundai,Hyundai i10,9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,1.94
Maruti,Maruti Baleno,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,6.86
Maruti,Maruti Alto,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,2.0
Maruti,Maruti Swift Dzire,11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,2.5
Maruti,Maruti Vitara,3,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,7.3
Hyundai,Hyundai Verna,5,55000,Dealer,Petrol,Manual,17.01,1591,121.3,5,6.5
Maruti,Maruti Vitara,4,45000,Dealer,Diesel,Manual,24.3,1248,88.5,5,7.9
Maruti,Maruti Baleno,4,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,6.2
Hyundai,Hyundai Verna,8,50000,Individual,Petrol,Manual,17.01,1591,121.3,5,5.1
Maruti,Maruti Eeco,8,20000,Individual,Petrol,Manual,15.37,1196,73.0,5,3.75
Maruti,Maruti Swift Dzire,4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5,6.2
Ford,Ford Endeavour,10,30000,Individual,Diesel,Automatic,11.4,2953,153.86,7,9.5
Toyota,Toyota Innova,4,52300,Dealer,Diesel,Manual,13.68,2393,147.51,7,14.5
Honda,Honda City,5,40000,Individual,Petrol,Automatic,18.0,1497,117.3,5,8.45
Maruti,Maruti Swift Dzire,7,61500,Dealer,Diesel,Manual,23.4,1248,74.0,5,3.9
Honda,Honda Amaze,6,59000,Dealer,Petrol,Manual,18.0,1198,86.7,5,3.95
Hyundai,Hyundai Grand,3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,4.5
Audi,Audi A6,8,60000,Individual,Diesel,Automatic,17.68,1968,174.33,5,17.0
Hyundai,Hyundai Grand,8,61000,Dealer,Petrol,Manual,18.9,1197,82.0,5,3.25
